TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0018024", "histone-lysine N-methyltransferase activity", 0.257, -3.963, 2.812, 1.477, -2.699, 0.620, 0.000, -1, False
"GO:0046975", "histone methyltransferase activity (H3-K36 specific)", 0.044, null, null, 0.778, -1.682, 0.652, 0.833, 18024, True
"GO:0042800", "histone methyltransferase activity (H3-K4 specific)", 0.089, null, null, 1.041, -1.587, 0.639, 0.878, 18024, True
"GO:0034236", "protein kinase A catalytic subunit binding", 0.009, -1.223, -5.320, 0.301, -2.284, 0.978, 0.000, -1, False
"GO:0008494", "translation activator activity", 0.053, 6.071, 2.903, 0.845, -1.983, 0.992, 0.036, -1, False
"GO:0080132", "fatty acid alpha-hydroxylase activity", 0.009, -5.128, -5.121, 0.301, -1.983, 0.874, 0.083, -1, False
"GO:0016034", "maleylacetoacetate isomerase activity", 0.018, 5.654, -0.867, 0.477, -2.284, 0.869, 0.087, -1, False
"GO:0046403", "polynucleotide 3'-phosphatase activity", 0.009, -0.957, 7.638, 0.301, -2.284, 0.736, 0.111, -1, False
"GO:0016853", "isomerase activity", 1.198, 2.075, 0.389, 2.134, -2.398, 0.826, 0.122, -1, False
"GO:0097110", "scaffold protein binding", 0.027, 2.676, -4.033, 0.602, -1.807, 0.977, 0.130, -1, False
"GO:0051219", "phosphoprotein binding", 0.151, 0.852, -4.832, 1.255, -1.444, 0.976, 0.155, -1, False
"GO:1990883", "rRNA cytidine N-acetyltransferase activity", 0.009, -6.644, 0.505, 0.301, -2.284, 0.707, 0.244, -1, False
"GO:0003870", "5-aminolevulinate synthase activity", 0.009, null, null, 0.301, -2.284, 0.708, 0.544, 1990883, True
"GO:0051392", "tRNA N-acetyltransferase activity", 0.081, null, null, 1.000, -2.284, 0.673, 0.623, 1990883, True
"GO:0008239", "dipeptidyl-peptidase activity", 0.071, 1.829, 5.485, 0.954, -1.386, 0.772, 0.270, -1, False
"GO:0003950", "NAD+ ADP-ribosyltransferase activity", 0.044, -7.037, 2.936, 0.778, -1.983, 0.727, 0.272, -1, False
"GO:0016763", "transferase activity, transferring pentosyl groups", 0.222, null, null, 1.415, -1.336, 0.701, 0.583, 3950, True
"GO:0003899", "DNA-directed 5'-3' RNA polymerase activity", 0.257, -4.197, 4.337, 1.477, -2.699, 0.608, 0.312, -1, False
"GO:0050567", "glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity", 0.027, null, null, 0.602, -1.983, 0.796, 0.507, 3899, True
"GO:0016884", "carbon-nitrogen ligase activity, with glutamine as amido-N-donor", 0.080, null, null, 1.000, -1.444, 0.813, 0.738, 3899, True
"GO:0004364", "glutathione transferase activity", 0.355, -5.507, 1.751, 1.613, -1.386, 0.711, 0.321, -1, False
"GO:0004622", "lysophospholipase activity", 0.035, 1.916, 7.693, 0.699, -2.284, 0.742, 0.334, -1, False
"GO:0008310", "single-stranded DNA 3'-5' exodeoxyribonuclease activity", 0.053, 0.258, 7.134, 0.845, -1.682, 0.605, 0.372, -1, False
"GO:0004529", "exodeoxyribonuclease activity", 0.151, null, null, 1.255, -1.444, 0.607, 0.781, 8310, True
"GO:0016895", "exodeoxyribonuclease activity, producing 5'-phosphomonoesters", 0.151, null, null, 1.255, -1.444, 0.582, 0.924, 8310, True
"GO:0008297", "single-stranded DNA exodeoxyribonuclease activity", 0.080, null, null, 1.000, -1.587, 0.596, 0.952, 8310, True
"GO:0008296", "3'-5'-exodeoxyribonuclease activity", 0.106, null, null, 1.114, -1.509, 0.590, 0.972, 8310, True
"GO:0046404", "ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity", 0.009, -5.740, 4.700, 0.301, -2.284, 0.747, 0.397, -1, False
"GO:0004366", "glycerol-3-phosphate O-acyltransferase activity", 0.027, -6.933, 1.239, 0.602, -2.284, 0.706, 0.457, -1, False
